C:\Users\Lenovo\.conda\envs\d2l_env\python.exe E:\python\大模型应用开发\实验二\nanoGPT-master\train.py 
tokens per iteration will be: 4,096
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
E:\python\大模型应用开发\实验二\nanoGPT-master\model.py:64: UserWarning: 1Torch was not compiled with flash attention. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\aten\src\ATen\native\transformers\cuda\sdp_utils.cpp:555.)
  y = torch.nn.functional.scaled_dot_product_attention(q, k, v, attn_mask=None, dropout_p=self.dropout if self.training else 0, is_causal=True)
iter 1680: loss 1.5136, time 31.56ms, mfu 4.12%
iter 1690: loss 1.4660, time 26.58ms, mfu 4.06%
iter 1700: loss 1.4509, time 27.06ms, mfu 4.00%
iter 1710: loss 1.4707, time 18.26ms, mfu 4.11%
iter 1720: loss 1.4932, time 16.87ms, mfu 4.25%
iter 1730: loss 1.4426, time 22.80ms, mfu 4.24%
iter 1740: loss 1.5051, time 16.59ms, mfu 4.37%
step 1750: train loss 1.4086, val loss 1.6138
saving checkpoint to out-shakespeare-char
iter 1750: loss 1.4592, time 2861.39ms, mfu 3.94%
iter 1760: loss 1.4189, time 18.48ms, mfu 4.05%
iter 1770: loss 1.4670, time 28.89ms, mfu 3.97%
iter 1780: loss 1.4373, time 15.92ms, mfu 4.16%
iter 1790: loss 1.4978, time 32.57ms, mfu 4.03%
iter 1800: loss 1.4680, time 21.01ms, mfu 4.07%
iter 1810: loss 1.4814, time 15.99ms, mfu 4.24%
iter 1820: loss 1.4953, time 17.78ms, mfu 4.34%
iter 1830: loss 1.4664, time 13.39ms, mfu 4.60%
iter 1840: loss 1.4461, time 13.23ms, mfu 4.85%
iter 1850: loss 1.4685, time 27.66ms, mfu 4.70%
iter 1860: loss 1.4769, time 23.18ms, mfu 4.63%
iter 1870: loss 1.4779, time 30.34ms, mfu 4.48%
iter 1880: loss 1.4617, time 23.11ms, mfu 4.43%
iter 1890: loss 1.5090, time 19.22ms, mfu 4.47%
iter 1900: loss 1.4916, time 17.00ms, mfu 4.57%
iter 1910: loss 1.4196, time 14.50ms, mfu 4.76%
iter 1920: loss 1.4561, time 15.03ms, mfu 4.90%
iter 1930: loss 1.4997, time 16.39ms, mfu 4.98%
iter 1940: loss 1.4204, time 23.90ms, mfu 4.87%
iter 1950: loss 1.4381, time 15.44ms, mfu 4.99%
iter 1960: loss 1.4672, time 25.49ms, mfu 4.85%
iter 1970: loss 1.4915, time 31.69ms, mfu 4.66%
iter 1980: loss 1.4502, time 19.45ms, mfu 4.68%
iter 1990: loss 1.4296, time 15.38ms, mfu 4.81%
