C:\Users\Lenovo\.conda\envs\d2l_env\python.exe E:\python\大模型应用开发\实验二\nanoGPT-master\train2.py 
初始化 GPU 模型 | 配置：n_layer=6, n_head=8, n_embd=256
number of parameters: 17.60M
num decayed parameter tensors: 26, with 17,629,184 parameters
num non-decayed parameter tensors: 13, with 3,328 parameters
using fused AdamW: True

开始 GPU 训练 | 数据集：tianlong | 总迭代数：5000 | 批次大小：16
【训练】迭代 2447 | 训练损失：2.4236 | 耗时：37.70ms | GPU 利用率：1.92%
【训练】迭代 2448 | 训练损失：2.3068 | 耗时：38.86ms | GPU 利用率：1.91%
【训练】迭代 2449 | 训练损失：2.3478 | 耗时：35.53ms | GPU 利用率：1.92%
【训练】迭代 2450 | 训练损失：2.4071 | 耗时：37.53ms | GPU 利用率：1.91%
【训练】迭代 2451 | 训练损失：2.2955 | 耗时：36.17ms | GPU 利用率：1.92%
【训练】迭代 2452 | 训练损失：2.3814 | 耗时：36.96ms | GPU 利用率：1.92%
【训练】迭代 2453 | 训练损失：2.2920 | 耗时：39.44ms | GPU 利用率：1.91%
【训练】迭代 2454 | 训练损失：2.3406 | 耗时：35.64ms | GPU 利用率：1.91%
【训练】迭代 2455 | 训练损失：2.2070 | 耗时：37.03ms | GPU 利用率：1.91%
【训练】迭代 2456 | 训练损失：2.1949 | 耗时：35.97ms | GPU 利用率：1.92%
【训练】迭代 2457 | 训练损失：2.3296 | 耗时：35.88ms | GPU 利用率：1.93%
【训练】迭代 2458 | 训练损失：2.3255 | 耗时：39.61ms | GPU 利用率：1.91%
【训练】迭代 2459 | 训练损失：2.3490 | 耗时：40.00ms | GPU 利用率：1.90%
【训练】迭代 2460 | 训练损失：2.4274 | 耗时：35.35ms | GPU 利用率：1.91%
【训练】迭代 2461 | 训练损失：2.2077 | 耗时：36.62ms | GPU 利用率：1.91%
【训练】迭代 2462 | 训练损失：2.3771 | 耗时：36.87ms | GPU 利用率：1.91%
【训练】迭代 2463 | 训练损失：2.3686 | 耗时：36.84ms | GPU 利用率：1.91%
【训练】迭代 2464 | 训练损失：2.3569 | 耗时：36.22ms | GPU 利用率：1.92%
【训练】迭代 2465 | 训练损失：2.2520 | 耗时：38.00ms | GPU 利用率：1.91%
【训练】迭代 2466 | 训练损失：2.1916 | 耗时：38.12ms | GPU 利用率：1.91%
【训练】迭代 2467 | 训练损失：2.2715 | 耗时：35.43ms | GPU 利用率：1.92%
【训练】迭代 2468 | 训练损失：2.3440 | 耗时：36.71ms | GPU 利用率：1.92%
【训练】迭代 2469 | 训练损失：2.3787 | 耗时：36.94ms | GPU 利用率：1.92%
【训练】迭代 2470 | 训练损失：2.2913 | 耗时：37.01ms | GPU 利用率：1.92%
【训练】迭代 2471 | 训练损失：2.3467 | 耗时：39.11ms | GPU 利用率：1.91%
【训练】迭代 2472 | 训练损失：2.3027 | 耗时：38.65ms | GPU 利用率：1.90%
【训练】迭代 2473 | 训练损失：2.2480 | 耗时：33.76ms | GPU 利用率：1.92%
【训练】迭代 2474 | 训练损失：2.2286 | 耗时：37.37ms | GPU 利用率：1.92%
【训练】迭代 2475 | 训练损失：2.3421 | 耗时：36.78ms | GPU 利用率：1.92%
【训练】迭代 2476 | 训练损失：2.2255 | 耗时：37.68ms | GPU 利用率：1.91%
【训练】迭代 2477 | 训练损失：2.3994 | 耗时：36.73ms | GPU 利用率：1.92%
【训练】迭代 2478 | 训练损失：2.2141 | 耗时：39.24ms | GPU 利用率：1.90%
【训练】迭代 2479 | 训练损失：2.2808 | 耗时：35.66ms | GPU 利用率：1.91%
【训练】迭代 2480 | 训练损失：2.3431 | 耗时：36.93ms | GPU 利用率：1.91%
【训练】迭代 2481 | 训练损失：2.3186 | 耗时：37.12ms | GPU 利用率：1.91%
【训练】迭代 2482 | 训练损失：2.1972 | 耗时：37.39ms | GPU 利用率：1.91%
【训练】迭代 2483 | 训练损失：2.3279 | 耗时：36.05ms | GPU 利用率：1.92%
【训练】迭代 2484 | 训练损失：2.3580 | 耗时：37.13ms | GPU 利用率：1.92%
【训练】迭代 2485 | 训练损失：2.1699 | 耗时：37.89ms | GPU 利用率：1.91%
【训练】迭代 2486 | 训练损失：2.1554 | 耗时：35.02ms | GPU 利用率：1.92%
【训练】迭代 2487 | 训练损失：2.2778 | 耗时：37.19ms | GPU 利用率：1.92%
【训练】迭代 2488 | 训练损失：2.2496 | 耗时：37.36ms | GPU 利用率：1.92%
【训练】迭代 2489 | 训练损失：2.2885 | 耗时：37.35ms | GPU 利用率：1.92%
【训练】迭代 2490 | 训练损失：2.2193 | 耗时：38.37ms | GPU 利用率：1.91%
【训练】迭代 2491 | 训练损失：2.4313 | 耗时：37.00ms | GPU 利用率：1.91%
【训练】迭代 2492 | 训练损失：2.4088 | 耗时：38.05ms | GPU 利用率：1.91%
【训练】迭代 2493 | 训练损失：2.1932 | 耗时：35.42ms | GPU 利用率：1.91%
【训练】迭代 2494 | 训练损失：2.1998 | 耗时：35.92ms | GPU 利用率：1.92%
【训练】迭代 2495 | 训练损失：2.3015 | 耗时：38.09ms | GPU 利用率：1.91%
【训练】迭代 2496 | 训练损失：2.3197 | 耗时：37.04ms | GPU 利用率：1.91%
【训练】迭代 2497 | 训练损失：2.3692 | 耗时：36.59ms | GPU 利用率：1.92%
【训练】迭代 2498 | 训练损失：2.3064 | 耗时：36.63ms | GPU 利用率：1.92%
【训练】迭代 2499 | 训练损失：2.3008 | 耗时：36.49ms | GPU 利用率：1.92%

【验证】迭代 2500 | 验证损失：2.3536 | 当前学习率：5.6442e-04
【保存】模型已保存至 out-tianlong-char\ckpt.pt
【训练】迭代 2500 | 训练损失：2.3176 | 耗时：2442.18ms | GPU 利用率：1.73%
【训练】迭代 2501 | 训练损失：2.2094 | 耗时：37.47ms | GPU 利用率：1.75%
【训练】迭代 2502 | 训练损失：2.3931 | 耗时：36.95ms | GPU 利用率：1.76%
【训练】迭代 2503 | 训练损失：2.3196 | 耗时：38.28ms | GPU 利用率：1.77%
【训练】迭代 2504 | 训练损失：2.2899 | 耗时：35.38ms | GPU 利用率：1.80%
【训练】迭代 2505 | 训练损失：2.3502 | 耗时：35.59ms | GPU 利用率：1.82%
【训练】迭代 2506 | 训练损失：2.2518 | 耗时：38.20ms | GPU 利用率：1.82%
【训练】迭代 2507 | 训练损失：2.2230 | 耗时：36.57ms | GPU 利用率：1.83%
【训练】迭代 2508 | 训练损失：2.2102 | 耗时：36.58ms | GPU 利用率：1.84%
【训练】迭代 2509 | 训练损失：2.2365 | 耗时：35.81ms | GPU 利用率：1.86%
【训练】迭代 2510 | 训练损失：2.3585 | 耗时：36.59ms | GPU 利用率：1.86%
【训练】迭代 2511 | 训练损失：2.2032 | 耗时：37.47ms | GPU 利用率：1.87%
【训练】迭代 2512 | 训练损失：2.3976 | 耗时：38.82ms | GPU 利用率：1.86%
【训练】迭代 2513 | 训练损失：2.4596 | 耗时：36.38ms | GPU 利用率：1.87%
【训练】迭代 2514 | 训练损失：2.3857 | 耗时：36.15ms | GPU 利用率：1.88%
【训练】迭代 2515 | 训练损失：2.2260 | 耗时：36.86ms | GPU 利用率：1.88%
【训练】迭代 2516 | 训练损失：2.3339 | 耗时：36.49ms | GPU 利用率：1.89%
【训练】迭代 2517 | 训练损失：2.3149 | 耗时：38.05ms | GPU 利用率：1.89%
【训练】迭代 2518 | 训练损失：2.3696 | 耗时：39.13ms | GPU 利用率：1.88%
【训练】迭代 2519 | 训练损失：2.3673 | 耗时：37.35ms | GPU 利用率：1.88%
【训练】迭代 2520 | 训练损失：2.2412 | 耗时：35.99ms | GPU 利用率：1.89%
【训练】迭代 2521 | 训练损失：2.3025 | 耗时：37.00ms | GPU 利用率：1.89%
【训练】迭代 2522 | 训练损失：2.3403 | 耗时：36.94ms | GPU 利用率：1.90%
【训练】迭代 2523 | 训练损失：2.3126 | 耗时：36.00ms | GPU 利用率：1.90%
【训练】迭代 2524 | 训练损失：2.4651 | 耗时：38.22ms | GPU 利用率：1.90%
【训练】迭代 2525 | 训练损失：2.2499 | 耗时：37.23ms | GPU 利用率：1.90%
【训练】迭代 2526 | 训练损失：2.1902 | 耗时：36.49ms | GPU 利用率：1.90%
【训练】迭代 2527 | 训练损失：2.3987 | 耗时：36.21ms | GPU 利用率：1.91%
【训练】迭代 2528 | 训练损失：2.4069 | 耗时：36.83ms | GPU 利用率：1.91%
【训练】迭代 2529 | 训练损失：2.4559 | 耗时：37.41ms | GPU 利用率：1.91%
【训练】迭代 2530 | 训练损失：2.3522 | 耗时：37.51ms | GPU 利用率：1.91%
【训练】迭代 2531 | 训练损失：2.2312 | 耗时：36.47ms | GPU 利用率：1.91%
【训练】迭代 2532 | 训练损失：2.3377 | 耗时：36.53ms | GPU 利用率：1.91%
【训练】迭代 2533 | 训练损失：2.2429 | 耗时：36.00ms | GPU 利用率：1.92%
【训练】迭代 2534 | 训练损失：2.3014 | 耗时：36.57ms | GPU 利用率：1.92%
【训练】迭代 2535 | 训练损失：2.3234 | 耗时：37.16ms | GPU 利用率：1.92%
【训练】迭代 2536 | 训练损失：2.2748 | 耗时：37.95ms | GPU 利用率：1.91%
【训练】迭代 2537 | 训练损失：2.2026 | 耗时：36.83ms | GPU 利用率：1.91%
【训练】迭代 2538 | 训练损失：2.1799 | 耗时：36.95ms | GPU 利用率：1.92%
【训练】迭代 2539 | 训练损失：2.4572 | 耗时：36.87ms | GPU 利用率：1.92%
【训练】迭代 2540 | 训练损失：2.2380 | 耗时：36.99ms | GPU 利用率：1.92%
【训练】迭代 2541 | 训练损失：2.2757 | 耗时：40.73ms | GPU 利用率：1.90%
【训练】迭代 2542 | 训练损失：2.4067 | 耗时：38.12ms | GPU 利用率：1.89%
【训练】迭代 2543 | 训练损失：2.2445 | 耗时：35.77ms | GPU 利用率：1.90%
【训练】迭代 2544 | 训练损失：2.2414 | 耗时：34.70ms | GPU 利用率：1.92%
【训练】迭代 2545 | 训练损失：2.3011 | 耗时：37.02ms | GPU 利用率：1.92%
【训练】迭代 2546 | 训练损失：2.3673 | 耗时：37.90ms | GPU 利用率：1.91%
【训练】迭代 2547 | 训练损失：2.2294 | 耗时：36.79ms | GPU 利用率：1.91%
【训练】迭代 2548 | 训练损失：2.2055 | 耗时：37.90ms | GPU 利用率：1.91%
【训练】迭代 2549 | 训练损失：2.2919 | 耗时：37.00ms | GPU 利用率：1.91%
【训练】迭代 2550 | 训练损失：2.1839 | 耗时：37.41ms | GPU 利用率：1.91%
【训练】迭代 2551 | 训练损失：2.3859 | 耗时：37.79ms | GPU 利用率：1.90%
【训练】迭代 2552 | 训练损失：2.3836 | 耗时：36.54ms | GPU 利用率：1.91%
【训练】迭代 2553 | 训练损失：2.2761 | 耗时：36.58ms | GPU 利用率：1.91%
【训练】迭代 2554 | 训练损失：2.2268 | 耗时：38.41ms | GPU 利用率：1.90%
【训练】迭代 2555 | 训练损失：2.3974 | 耗时：36.41ms | GPU 利用率：1.91%
【训练】迭代 2556 | 训练损失：2.2361 | 耗时：36.59ms | GPU 利用率：1.91%
【训练】迭代 2557 | 训练损失：2.2686 | 耗时：36.33ms | GPU 利用率：1.92%
【训练】迭代 2558 | 训练损失：2.3081 | 耗时：37.83ms | GPU 利用率：1.91%
【训练】迭代 2559 | 训练损失：2.1700 | 耗时：35.40ms | GPU 利用率：1.92%
【训练】迭代 2560 | 训练损失：2.3295 | 耗时：38.28ms | GPU 利用率：1.91%
【训练】迭代 2561 | 训练损失：2.3484 | 耗时：36.75ms | GPU 利用率：1.91%
【训练】迭代 2562 | 训练损失：2.2658 | 耗时：40.94ms | GPU 利用率：1.90%
【训练】迭代 2563 | 训练损失：2.2521 | 耗时：32.12ms | GPU 利用率：1.93%
【训练】迭代 2564 | 训练损失：2.2208 | 耗时：37.67ms | GPU 利用率：1.92%
【训练】迭代 2565 | 训练损失：2.2420 | 耗时：37.94ms | GPU 利用率：1.92%
【训练】迭代 2566 | 训练损失：2.3411 | 耗时：38.41ms | GPU 利用率：1.91%
【训练】迭代 2567 | 训练损失：2.2785 | 耗时：36.73ms | GPU 利用率：1.91%
【训练】迭代 2568 | 训练损失：2.3417 | 耗时：34.99ms | GPU 利用率：1.92%
【训练】迭代 2569 | 训练损失：2.3069 | 耗时：36.88ms | GPU 利用率：1.92%
【训练】迭代 2570 | 训练损失：2.2379 | 耗时：37.90ms | GPU 利用率：1.92%
【训练】迭代 2571 | 训练损失：2.3407 | 耗时：36.20ms | GPU 利用率：1.92%
【训练】迭代 2572 | 训练损失：2.3822 | 耗时：38.99ms | GPU 利用率：1.91%
【训练】迭代 2573 | 训练损失：2.3385 | 耗时：35.83ms | GPU 利用率：1.92%
【训练】迭代 2574 | 训练损失：2.2869 | 耗时：37.01ms | GPU 利用率：1.92%
【训练】迭代 2575 | 训练损失：2.2299 | 耗时：37.14ms | GPU 利用率：1.92%
【训练】迭代 2576 | 训练损失：2.2855 | 耗时：37.08ms | GPU 利用率：1.92%
【训练】迭代 2577 | 训练损失：2.2571 | 耗时：37.29ms | GPU 利用率：1.91%
【训练】迭代 2578 | 训练损失：2.2722 | 耗时：36.85ms | GPU 利用率：1.92%
【训练】迭代 2579 | 训练损失：2.2314 | 耗时：37.53ms | GPU 利用率：1.91%
【训练】迭代 2580 | 训练损失：2.1451 | 耗时：36.61ms | GPU 利用率：1.91%
【训练】迭代 2581 | 训练损失：2.3486 | 耗时：36.77ms | GPU 利用率：1.92%
【训练】迭代 2582 | 训练损失：2.1475 | 耗时：36.15ms | GPU 利用率：1.92%
【训练】迭代 2583 | 训练损失：2.2537 | 耗时：38.14ms | GPU 利用率：1.91%
【训练】迭代 2584 | 训练损失：2.2411 | 耗时：37.00ms | GPU 利用率：1.91%
【训练】迭代 2585 | 训练损失：2.4669 | 耗时：37.11ms | GPU 利用率：1.91%
【训练】迭代 2586 | 训练损失：2.2878 | 耗时：36.72ms | GPU 利用率：1.92%
【训练】迭代 2587 | 训练损失：2.3290 | 耗时：37.78ms | GPU 利用率：1.91%
【训练】迭代 2588 | 训练损失：2.1849 | 耗时：37.86ms | GPU 利用率：1.91%
【训练】迭代 2589 | 训练损失：2.2463 | 耗时：35.90ms | GPU 利用率：1.91%
【训练】迭代 2590 | 训练损失：2.1767 | 耗时：38.42ms | GPU 利用率：1.91%
【训练】迭代 2591 | 训练损失：2.2574 | 耗时：37.13ms | GPU 利用率：1.91%
【训练】迭代 2592 | 训练损失：2.3648 | 耗时：36.00ms | GPU 利用率：1.91%
【训练】迭代 2593 | 训练损失：2.3522 | 耗时：37.56ms | GPU 利用率：1.91%
【训练】迭代 2594 | 训练损失：2.3895 | 耗时：36.09ms | GPU 利用率：1.92%
【训练】迭代 2595 | 训练损失：2.2406 | 耗时：39.01ms | GPU 利用率：1.91%
【训练】迭代 2596 | 训练损失：2.3815 | 耗时：36.20ms | GPU 利用率：1.91%
【训练】迭代 2597 | 训练损失：2.2290 | 耗时：36.39ms | GPU 利用率：1.91%
【训练】迭代 2598 | 训练损失：2.3458 | 耗时：36.70ms | GPU 利用率：1.92%
【训练】迭代 2599 | 训练损失：2.4216 | 耗时：37.22ms | GPU 利用率：1.92%
【训练】迭代 2600 | 训练损失：2.1834 | 耗时：36.42ms | GPU 利用率：1.92%
【训练】迭代 2601 | 训练损失：2.2632 | 耗时：38.00ms | GPU 利用率：1.91%
【训练】迭代 2602 | 训练损失：2.3033 | 耗时：38.23ms | GPU 利用率：1.91%
【训练】迭代 2603 | 训练损失：2.3126 | 耗时：36.31ms | GPU 利用率：1.91%
【训练】迭代 2604 | 训练损失：2.1623 | 耗时：36.53ms | GPU 利用率：1.91%
【训练】迭代 2605 | 训练损失：2.2359 | 耗时：37.16ms | GPU 利用率：1.91%
【训练】迭代 2606 | 训练损失：2.2779 | 耗时：36.57ms | GPU 利用率：1.92%
【训练】迭代 2607 | 训练损失：2.2981 | 耗时：36.23ms | GPU 利用率：1.92%
【训练】迭代 2608 | 训练损失：2.2253 | 耗时：38.75ms | GPU 利用率：1.91%
【训练】迭代 2609 | 训练损失：2.3625 | 耗时：36.41ms | GPU 利用率：1.91%
【训练】迭代 2610 | 训练损失：2.2949 | 耗时：37.58ms | GPU 利用率：1.91%
【训练】迭代 2611 | 训练损失：2.3632 | 耗时：36.31ms | GPU 利用率：1.92%
【训练】迭代 2612 | 训练损失：2.2641 | 耗时：37.47ms | GPU 利用率：1.91%
【训练】迭代 2613 | 训练损失：2.3354 | 耗时：35.83ms | GPU 利用率：1.92%
【训练】迭代 2614 | 训练损失：2.2743 | 耗时：38.45ms | GPU 利用率：1.91%
【训练】迭代 2615 | 训练损失：2.2978 | 耗时：37.69ms | GPU 利用率：1.91%
【训练】迭代 2616 | 训练损失：2.1749 | 耗时：36.54ms | GPU 利用率：1.91%
【训练】迭代 2617 | 训练损失：2.2429 | 耗时：36.94ms | GPU 利用率：1.91%
【训练】迭代 2618 | 训练损失：2.1646 | 耗时：36.88ms | GPU 利用率：1.91%
【训练】迭代 2619 | 训练损失：2.3502 | 耗时：36.27ms | GPU 利用率：1.92%
【训练】迭代 2620 | 训练损失：2.2158 | 耗时：38.73ms | GPU 利用率：1.91%
【训练】迭代 2621 | 训练损失：2.3243 | 耗时：36.00ms | GPU 利用率：1.91%
【训练】迭代 2622 | 训练损失：2.3350 | 耗时：37.36ms | GPU 利用率：1.91%
【训练】迭代 2623 | 训练损失：2.2149 | 耗时：37.09ms | GPU 利用率：1.91%
【训练】迭代 2624 | 训练损失：2.3032 | 耗时：37.04ms | GPU 利用率：1.91%
【训练】迭代 2625 | 训练损失：2.2824 | 耗时：36.94ms | GPU 利用率：1.91%
【训练】迭代 2626 | 训练损失：2.3475 | 耗时：37.85ms | GPU 利用率：1.91%
【训练】迭代 2627 | 训练损失：2.2799 | 耗时：36.20ms | GPU 利用率：1.91%
【训练】迭代 2628 | 训练损失：2.0917 | 耗时：39.49ms | GPU 利用率：1.90%
【训练】迭代 2629 | 训练损失：2.3512 | 耗时：35.72ms | GPU 利用率：1.91%
【训练】迭代 2630 | 训练损失：2.3445 | 耗时：37.54ms | GPU 利用率：1.91%
【训练】迭代 2631 | 训练损失：2.1932 | 耗时：35.16ms | GPU 利用率：1.92%
【训练】迭代 2632 | 训练损失：2.3448 | 耗时：37.29ms | GPU 利用率：1.92%
【训练】迭代 2633 | 训练损失：2.4192 | 耗时：36.63ms | GPU 利用率：1.92%
【训练】迭代 2634 | 训练损失：2.1615 | 耗时：36.89ms | GPU 利用率：1.92%
【训练】迭代 2635 | 训练损失：2.3236 | 耗时：36.91ms | GPU 利用率：1.92%
【训练】迭代 2636 | 训练损失：2.1295 | 耗时：37.01ms | GPU 利用率：1.92%
【训练】迭代 2637 | 训练损失：2.2597 | 耗时：36.22ms | GPU 利用率：1.92%
【训练】迭代 2638 | 训练损失：2.3028 | 耗时：38.33ms | GPU 利用率：1.92%
【训练】迭代 2639 | 训练损失：2.3429 | 耗时：36.36ms | GPU 利用率：1.92%
【训练】迭代 2640 | 训练损失：2.2744 | 耗时：36.63ms | GPU 利用率：1.92%
【训练】迭代 2641 | 训练损失：2.3055 | 耗时：37.73ms | GPU 利用率：1.92%
【训练】迭代 2642 | 训练损失：2.2293 | 耗时：36.24ms | GPU 利用率：1.92%
【训练】迭代 2643 | 训练损失：2.3747 | 耗时：37.68ms | GPU 利用率：1.92%
【训练】迭代 2644 | 训练损失：2.2120 | 耗时：38.29ms | GPU 利用率：1.91%
【训练】迭代 2645 | 训练损失：2.2450 | 耗时：35.83ms | GPU 利用率：1.92%
【训练】迭代 2646 | 训练损失：2.2212 | 耗时：35.87ms | GPU 利用率：1.92%
【训练】迭代 2647 | 训练损失：2.0661 | 耗时：37.63ms | GPU 利用率：1.92%
【训练】迭代 2648 | 训练损失：2.3926 | 耗时：35.73ms | GPU 利用率：1.92%
【训练】迭代 2649 | 训练损失：2.1965 | 耗时：37.62ms | GPU 利用率：1.92%
【训练】迭代 2650 | 训练损失：2.2429 | 耗时：39.33ms | GPU 利用率：1.91%
【训练】迭代 2651 | 训练损失：2.2468 | 耗时：34.94ms | GPU 利用率：1.92%
【训练】迭代 2652 | 训练损失：2.3525 | 耗时：36.98ms | GPU 利用率：1.92%
【训练】迭代 2653 | 训练损失：2.2312 | 耗时：37.10ms | GPU 利用率：1.92%
【训练】迭代 2654 | 训练损失：2.2934 | 耗时：36.67ms | GPU 利用率：1.92%
【训练】迭代 2655 | 训练损失：2.3355 | 耗时：37.13ms | GPU 利用率：1.92%
【训练】迭代 2656 | 训练损失：2.2767 | 耗时：38.59ms | GPU 利用率：1.91%
【训练】迭代 2657 | 训练损失：2.3597 | 耗时：36.25ms | GPU 利用率：1.92%
【训练】迭代 2658 | 训练损失：2.2965 | 耗时：38.99ms | GPU 利用率：1.91%
【训练】迭代 2659 | 训练损失：2.1280 | 耗时：35.48ms | GPU 利用率：1.91%
【训练】迭代 2660 | 训练损失：2.3879 | 耗时：37.80ms | GPU 利用率：1.91%
【训练】迭代 2661 | 训练损失：2.2643 | 耗时：35.96ms | GPU 利用率：1.92%
【训练】迭代 2662 | 训练损失：2.0954 | 耗时：38.44ms | GPU 利用率：1.91%
【训练】迭代 2663 | 训练损失：2.2715 | 耗时：36.14ms | GPU 利用率：1.91%
【训练】迭代 2664 | 训练损失：2.3350 | 耗时：37.10ms | GPU 利用率：1.91%
【训练】迭代 2665 | 训练损失：2.1645 | 耗时：37.09ms | GPU 利用率：1.91%
【训练】迭代 2666 | 训练损失：2.1393 | 耗时：37.37ms | GPU 利用率：1.91%
【训练】迭代 2667 | 训练损失：2.2568 | 耗时：36.15ms | GPU 利用率：1.92%
【训练】迭代 2668 | 训练损失：2.2619 | 耗时：38.48ms | GPU 利用率：1.91%
【训练】迭代 2669 | 训练损失：2.3214 | 耗时：36.80ms | GPU 利用率：1.91%
【训练】迭代 2670 | 训练损失：2.1494 | 耗时：35.27ms | GPU 利用率：1.92%
【训练】迭代 2671 | 训练损失：2.1495 | 耗时：38.62ms | GPU 利用率：1.91%
【训练】迭代 2672 | 训练损失：2.2553 | 耗时：35.59ms | GPU 利用率：1.92%
【训练】迭代 2673 | 训练损失：2.2855 | 耗时：36.92ms | GPU 利用率：1.92%
【训练】迭代 2674 | 训练损失：2.1395 | 耗时：38.34ms | GPU 利用率：1.91%
【训练】迭代 2675 | 训练损失：2.2335 | 耗时：37.27ms | GPU 利用率：1.91%
【训练】迭代 2676 | 训练损失：2.1007 | 耗时：36.46ms | GPU 利用率：1.91%
【训练】迭代 2677 | 训练损失：2.2918 | 耗时：37.02ms | GPU 利用率：1.91%
【训练】迭代 2678 | 训练损失：2.2600 | 耗时：34.94ms | GPU 利用率：1.93%
【训练】迭代 2679 | 训练损失：2.3602 | 耗时：37.47ms | GPU 利用率：1.92%
【训练】迭代 2680 | 训练损失：2.2160 | 耗时：38.62ms | GPU 利用率：1.91%
【训练】迭代 2681 | 训练损失：2.2745 | 耗时：35.61ms | GPU 利用率：1.92%
【训练】迭代 2682 | 训练损失：2.3120 | 耗时：37.78ms | GPU 利用率：1.92%
【训练】迭代 2683 | 训练损失：2.2604 | 耗时：36.34ms | GPU 利用率：1.92%
【训练】迭代 2684 | 训练损失：2.2263 | 耗时：37.91ms | GPU 利用率：1.92%
【训练】迭代 2685 | 训练损失：2.3278 | 耗时：36.66ms | GPU 利用率：1.92%
【训练】迭代 2686 | 训练损失：2.2424 | 耗时：37.65ms | GPU 利用率：1.91%
【训练】迭代 2687 | 训练损失：2.2437 | 耗时：36.77ms | GPU 利用率：1.91%
【训练】迭代 2688 | 训练损失：2.3714 | 耗时：37.23ms | GPU 利用率：1.91%
【训练】迭代 2689 | 训练损失：2.1747 | 耗时：38.01ms | GPU 利用率：1.91%
【训练】迭代 2690 | 训练损失：2.3200 | 耗时：36.13ms | GPU 利用率：1.91%
【训练】迭代 2691 | 训练损失：2.2986 | 耗时：36.00ms | GPU 利用率：1.92%
【训练】迭代 2692 | 训练损失：2.2864 | 耗时：38.63ms | GPU 利用率：1.91%
【训练】迭代 2693 | 训练损失：2.2198 | 耗时：36.31ms | GPU 利用率：1.92%
【训练】迭代 2694 | 训练损失：2.2553 | 耗时：36.98ms | GPU 利用率：1.92%
【训练】迭代 2695 | 训练损失：2.3283 | 耗时：36.41ms | GPU 利用率：1.92%
【训练】迭代 2696 | 训练损失：2.3378 | 耗时：37.11ms | GPU 利用率：1.92%
【训练】迭代 2697 | 训练损失：2.2699 | 耗时：36.64ms | GPU 利用率：1.92%
【训练】迭代 2698 | 训练损失：2.3274 | 耗时：38.47ms | GPU 利用率：1.91%
【训练】迭代 2699 | 训练损失：2.2669 | 耗时：35.84ms | GPU 利用率：1.92%
【训练】迭代 2700 | 训练损失：2.2102 | 耗时：36.20ms | GPU 利用率：1.92%
【训练】迭代 2701 | 训练损失：2.2453 | 耗时：37.26ms | GPU 利用率：1.92%
【训练】迭代 2702 | 训练损失：2.2008 | 耗时：36.86ms | GPU 利用率：1.92%
【训练】迭代 2703 | 训练损失：2.2677 | 耗时：36.50ms | GPU 利用率：1.92%
【训练】迭代 2704 | 训练损失：2.2959 | 耗时：38.98ms | GPU 利用率：1.91%
【训练】迭代 2705 | 训练损失：2.1812 | 耗时：36.01ms | GPU 利用率：1.92%
【训练】迭代 2706 | 训练损失：2.3437 | 耗时：37.15ms | GPU 利用率：1.92%
【训练】迭代 2707 | 训练损失：2.2897 | 耗时：36.14ms | GPU 利用率：1.92%
【训练】迭代 2708 | 训练损失：2.2371 | 耗时：36.55ms | GPU 利用率：1.92%
【训练】迭代 2709 | 训练损失：2.3072 | 耗时：37.43ms | GPU 利用率：1.92%
【训练】迭代 2710 | 训练损失：2.2410 | 耗时：37.83ms | GPU 利用率：1.92%
【训练】迭代 2711 | 训练损失：2.2167 | 耗时：37.13ms | GPU 利用率：1.91%
【训练】迭代 2712 | 训练损失：2.1928 | 耗时：37.19ms | GPU 利用率：1.91%
【训练】迭代 2713 | 训练损失：2.4369 | 耗时：35.90ms | GPU 利用率：1.92%
【训练】迭代 2714 | 训练损失：2.3294 | 耗时：37.40ms | GPU 利用率：1.92%
【训练】迭代 2715 | 训练损失：2.2563 | 耗时：36.83ms | GPU 利用率：1.92%
【训练】迭代 2716 | 训练损失：2.3663 | 耗时：37.30ms | GPU 利用率：1.92%
【训练】迭代 2717 | 训练损失：2.1587 | 耗时：37.22ms | GPU 利用率：1.91%
【训练】迭代 2718 | 训练损失：2.2438 | 耗时：37.19ms | GPU 利用率：1.91%
【训练】迭代 2719 | 训练损失：2.4385 | 耗时：36.19ms | GPU 利用率：1.92%
【训练】迭代 2720 | 训练损失：2.2703 | 耗时：36.95ms | GPU 利用率：1.92%
【训练】迭代 2721 | 训练损失：2.2765 | 耗时：35.96ms | GPU 利用率：1.92%
【训练】迭代 2722 | 训练损失：2.2893 | 耗时：37.85ms | GPU 利用率：1.92%
【训练】迭代 2723 | 训练损失：2.3143 | 耗时：37.51ms | GPU 利用率：1.92%
【训练】迭代 2724 | 训练损失：2.3202 | 耗时：36.24ms | GPU 利用率：1.92%
【训练】迭代 2725 | 训练损失：2.1163 | 耗时：37.27ms | GPU 利用率：1.92%
【训练】迭代 2726 | 训练损失：2.3385 | 耗时：36.40ms | GPU 利用率：1.92%
【训练】迭代 2727 | 训练损失：2.2145 | 耗时：36.15ms | GPU 利用率：1.92%
【训练】迭代 2728 | 训练损失：2.2935 | 耗时：39.38ms | GPU 利用率：1.91%
【训练】迭代 2729 | 训练损失：2.1718 | 耗时：36.00ms | GPU 利用率：1.92%
【训练】迭代 2730 | 训练损失：2.3069 | 耗时：36.47ms | GPU 利用率：1.92%
【训练】迭代 2731 | 训练损失：2.2959 | 耗时：37.13ms | GPU 利用率：1.92%
