C:\Users\Lenovo\.conda\envs\d2l_env\python.exe E:\python\大模型应用开发\实验二\nanoGPT-master\train2.py 
初始化 GPU 模型 | 配置：n_layer=6, n_head=8, n_embd=256
number of parameters: 17.60M
num decayed parameter tensors: 26, with 17,629,184 parameters
num non-decayed parameter tensors: 13, with 3,328 parameters
using fused AdamW: True

开始 GPU 训练 | 数据集：tianlong | 总迭代数：5000 | 批次大小：16
【训练】迭代 175 | 训练损失：3.1968 | 耗时：37.45ms | GPU 利用率：1.92%
【训练】迭代 176 | 训练损失：3.2523 | 耗时：35.00ms | GPU 利用率：1.93%
【训练】迭代 177 | 训练损失：3.2973 | 耗时：36.20ms | GPU 利用率：1.93%
【训练】迭代 178 | 训练损失：3.1825 | 耗时：38.04ms | GPU 利用率：1.92%
【训练】迭代 179 | 训练损失：3.2072 | 耗时：35.28ms | GPU 利用率：1.93%
【训练】迭代 180 | 训练损失：3.2178 | 耗时：39.16ms | GPU 利用率：1.92%
【训练】迭代 181 | 训练损失：3.2172 | 耗时：36.58ms | GPU 利用率：1.92%
【训练】迭代 182 | 训练损失：3.2613 | 耗时：36.09ms | GPU 利用率：1.93%
【训练】迭代 183 | 训练损失：3.2244 | 耗时：36.16ms | GPU 利用率：1.93%
【训练】迭代 184 | 训练损失：3.2289 | 耗时：38.33ms | GPU 利用率：1.92%
【训练】迭代 185 | 训练损失：3.2028 | 耗时：35.17ms | GPU 利用率：1.93%
【训练】迭代 186 | 训练损失：3.0828 | 耗时：39.60ms | GPU 利用率：1.92%
【训练】迭代 187 | 训练损失：3.3165 | 耗时：36.25ms | GPU 利用率：1.92%
【训练】迭代 188 | 训练损失：3.1296 | 耗时：36.05ms | GPU 利用率：1.92%
【训练】迭代 189 | 训练损失：3.2389 | 耗时：37.51ms | GPU 利用率：1.92%
【训练】迭代 190 | 训练损失：3.2222 | 耗时：36.39ms | GPU 利用率：1.92%
【训练】迭代 191 | 训练损失：3.1202 | 耗时：36.60ms | GPU 利用率：1.92%
【训练】迭代 192 | 训练损失：3.2027 | 耗时：38.36ms | GPU 利用率：1.92%
【训练】迭代 193 | 训练损失：3.2079 | 耗时：37.00ms | GPU 利用率：1.92%
【训练】迭代 194 | 训练损失：3.2552 | 耗时：36.01ms | GPU 利用率：1.92%
【训练】迭代 195 | 训练损失：3.1284 | 耗时：38.15ms | GPU 利用率：1.92%
【训练】迭代 196 | 训练损失：3.1086 | 耗时：36.90ms | GPU 利用率：1.92%
【训练】迭代 197 | 训练损失：3.2407 | 耗时：38.16ms | GPU 利用率：1.91%
【训练】迭代 198 | 训练损失：3.2555 | 耗时：36.00ms | GPU 利用率：1.92%
【训练】迭代 199 | 训练损失：3.1734 | 耗时：42.03ms | GPU 利用率：1.89%
【训练】迭代 200 | 训练损失：3.0210 | 耗时：35.87ms | GPU 利用率：1.90%
【训练】迭代 201 | 训练损失：3.1538 | 耗时：36.46ms | GPU 利用率：1.91%
【训练】迭代 202 | 训练损失：3.2146 | 耗时：38.01ms | GPU 利用率：1.90%
【训练】迭代 203 | 训练损失：3.1775 | 耗时：35.99ms | GPU 利用率：1.91%
【训练】迭代 204 | 训练损失：3.2777 | 耗时：36.00ms | GPU 利用率：1.91%
【训练】迭代 205 | 训练损失：3.2810 | 耗时：38.04ms | GPU 利用率：1.91%
【训练】迭代 206 | 训练损失：3.1486 | 耗时：36.05ms | GPU 利用率：1.91%
【训练】迭代 207 | 训练损失：3.0584 | 耗时：36.40ms | GPU 利用率：1.92%
【训练】迭代 208 | 训练损失：3.1645 | 耗时：37.36ms | GPU 利用率：1.92%
【训练】迭代 209 | 训练损失：3.1934 | 耗时：38.00ms | GPU 利用率：1.91%
【训练】迭代 210 | 训练损失：3.1055 | 耗时：36.47ms | GPU 利用率：1.91%
【训练】迭代 211 | 训练损失：3.1368 | 耗时：39.59ms | GPU 利用率：1.90%
【训练】迭代 212 | 训练损失：3.1864 | 耗时：36.73ms | GPU 利用率：1.90%
【训练】迭代 213 | 训练损失：3.1479 | 耗时：36.50ms | GPU 利用率：1.91%
【训练】迭代 214 | 训练损失：3.2181 | 耗时：37.08ms | GPU 利用率：1.91%
【训练】迭代 215 | 训练损失：3.1331 | 耗时：38.17ms | GPU 利用率：1.90%
【训练】迭代 216 | 训练损失：3.2533 | 耗时：37.27ms | GPU 利用率：1.90%
【训练】迭代 217 | 训练损失：3.1717 | 耗时：36.01ms | GPU 利用率：1.91%
【训练】迭代 218 | 训练损失：3.0941 | 耗时：36.13ms | GPU 利用率：1.91%
【训练】迭代 219 | 训练损失：3.2751 | 耗时：39.48ms | GPU 利用率：1.90%
【训练】迭代 220 | 训练损失：3.1665 | 耗时：37.58ms | GPU 利用率：1.90%
【训练】迭代 221 | 训练损失：3.1485 | 耗时：37.01ms | GPU 利用率：1.90%
【训练】迭代 222 | 训练损失：3.0651 | 耗时：37.41ms | GPU 利用率：1.90%
【训练】迭代 223 | 训练损失：3.0200 | 耗时：37.00ms | GPU 利用率：1.90%
【训练】迭代 224 | 训练损失：3.1759 | 耗时：37.89ms | GPU 利用率：1.90%
【训练】迭代 225 | 训练损失：3.2947 | 耗时：38.41ms | GPU 利用率：1.89%
【训练】迭代 226 | 训练损失：3.1522 | 耗时：35.80ms | GPU 利用率：1.90%
【训练】迭代 227 | 训练损失：3.1214 | 耗时：38.29ms | GPU 利用率：1.90%
【训练】迭代 228 | 训练损失：3.1602 | 耗时：36.45ms | GPU 利用率：1.90%
【训练】迭代 229 | 训练损失：3.1244 | 耗时：38.01ms | GPU 利用率：1.90%
【训练】迭代 230 | 训练损失：3.1648 | 耗时：36.32ms | GPU 利用率：1.90%
【训练】迭代 231 | 训练损失：3.1188 | 耗时：36.60ms | GPU 利用率：1.91%
【训练】迭代 232 | 训练损失：3.1629 | 耗时：37.76ms | GPU 利用率：1.90%
【训练】迭代 233 | 训练损失：3.1478 | 耗时：36.76ms | GPU 利用率：1.91%
【训练】迭代 234 | 训练损失：3.2065 | 耗时：36.50ms | GPU 利用率：1.91%
【训练】迭代 235 | 训练损失：3.1173 | 耗时：39.02ms | GPU 利用率：1.90%
【训练】迭代 236 | 训练损失：3.1077 | 耗时：36.12ms | GPU 利用率：1.91%
【训练】迭代 237 | 训练损失：3.1839 | 耗时：38.54ms | GPU 利用率：1.90%
【训练】迭代 238 | 训练损失：3.1081 | 耗时：38.08ms | GPU 利用率：1.90%
【训练】迭代 239 | 训练损失：3.0652 | 耗时：37.22ms | GPU 利用率：1.90%
